"","state","year","date","overall_max","so_max","gi_max","so_marriage_max","so_relationships_max","so_adoption_max","so_discrimination_max","so_religion_max","so_youth_max","so_health_safety_max","so_healthcare_max","so_crime_max","so_identity_max","gi_marriage_max","gi_relationships_max","gi_adoption_max","gi_discrimination_max","gi_religion_max","gi_youth_max","gi_health_safety_max","gi_healthcare_max","gi_crime_max","gi_identity_max","all_marriage_max","all_relationships_max","all_adoption_max","all_discrimination_max","all_religion_max","all_youth_max","all_health_safety_max","all_healthcare_max","all_crime_max","all_identity_max","overall","so","gi","so_marriage","so_relationships","so_adoption","so_discrimination","so_religion","so_youth","so_health_safety","so_healthcare","so_crime","so_identity","gi_marriage","gi_relationships","gi_adoption","gi_discrimination","gi_religion","gi_youth","gi_health_safety","gi_healthcare","gi_crime","gi_identity","all_marriage","all_relationships","all_adoption","all_discrimination","all_religion","all_youth","all_health_safety","all_healthcare","all_crime","all_identity","so_theme1_relationships_max","so_theme2_nondisc_max","so_theme3_identity_max","so_theme4_youth_max","so_theme5_healthcrim_max","gi_theme1_relationships_max","gi_theme2_nondisc_max","gi_theme3_identity_max","gi_theme4_youth_max","gi_theme5_healthcrim_max","theme1_relationships_max","theme2_nondisc_max","theme3_identity_max","theme4_youth_max","theme5_healthcrim_max","so_theme1_relationships","so_theme2_nondisc","so_theme3_identity","so_theme4_youth","so_theme5_healthcrim","gi_theme1_relationships","gi_theme2_nondisc","gi_theme3_identity","gi_theme4_youth","gi_theme5_healthcrim","theme1_relationships","theme2_nondisc","theme3_identity","theme4_youth","theme5_healthcrim","so_theme1_relationships_ord","so_theme2_nondisc_ord","so_theme3_identity_ord","so_theme4_youth_ord","so_theme5_healthcrim_ord","gi_theme1_relationships_ord","gi_theme2_nondisc_ord","gi_theme3_identity_ord","gi_theme4_youth_ord","gi_theme5_healthcrim_ord","theme1_relationships_ord","theme2_nondisc_ord","theme3_identity_ord","theme4_youth_ord","theme5_healthcrim_ord","overall_ord","so_ord","gi_ord","Region"
"21","Maryland",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,22.5,13,9.5,0,2,5.5,4,0,1,0.5,0,0,0,0,0,0,4,0,1,3,0,0,1.5,0,2,5.5,8,0,2,3.5,0,0,1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,7.5,4,0,1,0.5,0,4,1.5,1,3,7.5,8,1.5,2,3.5,"High","High",NA,"Medium","Low","Low","High","Medium","Medium","High","Fair","High","Medium","Medium","Fair","Medium","Medium","Fair","South"
"22","Massachusetts",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,28,15.25,12.75,0,2,6,4.5,0,2,0.75,0,0,0,0,0,1,4.5,0,2,3.25,0,0,2,0,2,7,9,0,4,4,0,0,2,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,8,4.5,0,2,0.75,1,4.5,2,2,3.25,9,9,2,4,4,"High","High",NA,"High","Low","Low","High","Medium","High","High","Medium","High","Medium","High","Medium","Medium","High","Medium","Northeast"
"23","Michigan",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,4,3.75,0.25,0,2,2,0.25,0,0,-0.5,0,0,0,0,0,0,0.25,0,0,0.5,0,0,-0.5,0,2,2,0.5,0,0,0,0,0,-0.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,0.25,0,0,-0.5,0,0.25,-0.5,0,0.5,4,0.5,-0.5,0,0,"Fair","Low",NA,"Low","Negative","Low","Low","Negative","Low","Low","Low","Low","Negative","Low","Low","Low","Low","Low","Midwest"
"24","Minnesota",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,23,13,10,0,2,3,4.5,0,2,1.5,0,0,0,0,0,0,4.5,0,2,2,0,0,1.5,0,2,3,9,0,4,3.5,0,0,1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5,4.5,0,2,1.5,0,4.5,1.5,2,2,5,9,1.5,4,3.5,"Medium","High",NA,"High","Fair","Low","High","Medium","High","Medium","Fair","High","Medium","High","Fair","Medium","Medium","Medium","Midwest"
"25","Mississippi",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,1.5,2.25,-0.75,0,2,2.5,-1.25,0,-0.5,-0.5,0,0,0,0,0,0,-1.25,0,-0.5,-0.5,0,0,1.5,0,2,2.5,-2.5,0,-1,-1,0,0,1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,-1.25,0,-0.5,-0.5,0,-1.25,1.5,-0.5,-0.5,4.5,-2.5,1.5,-1,-1,"Fair","Negative",NA,"Negative","Negative","Low","Negative","Medium","Negative","Negative","Fair","Negative","Medium","Negative","Negative","Low","Low","Negative","South"
"26","Missouri",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,5.5,4.75,0.75,0,2,2,0.75,0,-0.5,0.5,0,0,0,0,0,0,0.25,0,-0.5,-0.5,0,0,1.5,0,2,2,1,0,-1,0,0,0,1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,0.75,0,-0.5,0.5,0,0.25,1.5,-0.5,-0.5,4,1,1.5,-1,0,"Fair","Low",NA,"Negative","Low","Low","Low","Medium","Negative","Negative","Low","Low","Medium","Negative","Low","Low","Low","Low","Midwest"
"27","Montana",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,4,5,-1,0,2,3,0.5,0,0,-0.5,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,2,3,0.5,0,0,0.5,0,0,-2,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5,0.5,0,0,-0.5,0,0,-2,0,1,5,0.5,-2,0,0.5,"Medium","Low",NA,"Low","Negative","Low","Low","Negative","Low","Fair","Fair","Low","Negative","Low","Low","Low","Fair","Negative","West"
"28","Nebraska",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,1,4,-3,0,2,1.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,-1.5,0,0,-1.5,0,2,1.5,0,0,0,-1,0,0,-1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,3.5,0,0,0,0.5,0,0,-1.5,0,-1.5,3.5,0,-1.5,0,-1,"Fair","Low",NA,"Low","Low","Low","Low","Negative","Low","Negative","Low","Low","Negative","Low","Negative","Low","Low","Negative","Midwest"
"29","Nevada",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,19.5,11.5,8,0,2,3.5,3.5,0,1,1.5,0,0,0,0,0,0,3.5,0,1,2,0,0,1.5,0,2,3.5,7,0,2,3.5,0,0,1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5.5,3.5,0,1,1.5,0,3.5,1.5,1,2,5.5,7,1.5,2,3.5,"Medium","High",NA,"Medium","Fair","Low","High","Medium","Medium","Medium","Fair","High","Medium","Medium","Fair","Fair","Medium","Fair","West"
"30","New Hampshire",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,10.5,9.25,1.25,0,2,2,3.5,0,1,0.75,0,0,0,0,0,0,0,0,1,-1.25,0,0,1.5,0,2,2,3.5,0,2,-0.5,0,0,1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,3.5,0,1,0.75,0,0,1.5,1,-1.25,4,3.5,1.5,2,-0.5,"Fair","High",NA,"Medium","Low","Low","Low","Medium","Medium","Negative","Low","Fair","Medium","Medium","Negative","Fair","Fair","Low","Northeast"
"31","New Jersey",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,24.5,16.5,8,0,2.5,6,4.5,0,3,0.5,0,0,0,0,0,1,4.5,0,3,0.5,0,0,-1,0,2.5,7,9,0,6,1,0,0,-1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,8.5,4.5,0,3,0.5,1,4.5,-1,3,0.5,9.5,9,-1,6,1,"High","High",NA,"High","Low","Low","High","Negative","High","Low","Medium","High","Negative","High","Low","Medium","High","Fair","Northeast"
"32","New Mexico",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,18.5,12.5,6,0,2,3.5,4,0,2,1,0,0,0,0,0,0,4,0,1,1,0,0,0,0,2,3.5,8,0,3,2,0,0,0,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5.5,4,0,2,1,0,4,0,1,1,5.5,8,0,3,2,"Medium","High",NA,"High","Fair","Low","High","Low","Medium","Fair","Fair","High","Low","High","Fair","Fair","Medium","Fair","West"
"33","New York",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,25,15.5,9.5,0,3,5.5,4.5,0,1,1.5,0,0,0,0,0,1,3.5,0,1,2.5,0,0,1.5,0,3,6.5,8,0,2,4,0,0,1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,8.5,4.5,0,1,1.5,1,3.5,1.5,1,2.5,9.5,8,1.5,2,4,"High","High",NA,"Medium","Fair","Low","High","Medium","Medium","Medium","Medium","High","Medium","Medium","Medium","Medium","High","Fair","Northeast"
"34","North Carolina",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,2.5,3.75,-1.25,0,2,2.5,-0.25,0,0,-0.5,0,0,0,0,0,0,-0.25,0,1,0,0,0,-2,0,2,2.5,-0.5,0,1,-0.5,0,0,-2,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,-0.25,0,0,-0.5,0,-0.25,-2,1,0,4.5,-0.5,-2,1,-0.5,"Fair","Negative",NA,"Low","Negative","Low","Negative","Negative","Medium","Low","Fair","Negative","Negative","Fair","Negative","Low","Low","Negative","South"
