"","state","relparentrecog_gi","nondisc_gi","religiousexemption_gi","lgbtyouth_gi","healthcare_gi","crimjustice_gi","iddocs_gi","tally_gi","relparentrecog_so","nondisc_so","religiousexemption_so","lgbtyouth_so","healthcare_so","crimjustice_so","tally_so","tally_overall","pca_so","pca_gi"
"41","Oregon",1,3.5,0,5,4.5,3,4,21,5,3.5,0,5,1,3,17.5,38.5,1.13277583467009,1.35779880338625
"42","Pennsylvania",0,2.75,-0.5,1.5,4.5,-0.5,2.5,10.25,3,2.75,-0.5,1.5,1,-0.5,7.25,17.5,-0.276712811714562,0.0813971435786844
"43","Puerto Rico",0,1.5,0,3.25,2,1,2.75,10.5,2.25,1.5,0,3.25,1.5,1,9.5,20,0.186368787940268,0.214620163579219
"44","Rhode Island",1,4.5,-0.5,3.5,4.5,1,3,17,5.5,4.5,-0.5,3.5,1,2,16,33,0.884837052333811,0.924092312899983
"45","South Carolina",0,0,-2.5,-1,-1,-0.5,0,-5,3,0,-2.5,1,0.5,-0.5,1.5,-3.5,-1.15745613961781,-1.23547049205792
"46","South Dakota",1,0,-1.5,-1,-1.5,-1,-1,-5,2,0,-1.5,0,0,-1,-0.5,-5.5,-1.47380345279017,-0.967178534598915
"47","Tennessee",1,-2,-2.5,-2,-2.5,-1.25,-1,-10.25,2.25,-1,-2.5,0,0,-1,-2.25,-12.5,-1.72899189320291,-1.48138124607019
"48","Texas",0,1.25,-1.5,-1,-2,0,0.5,-2.75,2,1.25,-1.5,-0.5,1,1,3.25,0.5,-0.729465045062946,-0.931922357979114
"49","Virgin Islands",0,4.5,0,0.75,0,0.5,-1,4.75,2,4.5,0,1.75,0,0.5,8.75,13.5,-0.245586593008346,-0.183641017686894
"50","Utah",0,2.5,-1,2,-1,0,0.25,2.75,1,2.5,-1,3,1,0,6.5,9.25,-0.38351054133252,-0.466888770032359
"51","Vermont",1,4.5,0,4,5,2,4,20.5,5.5,4.5,0,4,2,2,18,38.5,1.35488938186445,1.27991944642635
"52","Virginia",0,4.5,-1.5,2,4,2,3.5,14.5,2,4.5,-1.5,3,1,2,11,25.5,0.218528405429825,0.502572297872123
"53","Washington",1,4.5,0,4,5,2.5,4,21,4.75,4.5,0,4,1.5,2.5,17.25,38.25,1.18094911356238,1.34564866688807
"54","West Virginia",1,0,-0.5,0.5,-1,0,0.5,0.5,3,0,-0.5,1.5,1,0,5,5.5,-0.511172068764558,-0.422826612013924
"55","Wisconsin",0,1,0,0.75,4.5,-0.25,-0.75,5.25,3.25,3.5,0,2.75,2,1.75,13.25,18.5,0.771604194680329,-0.280575193455075
"56","Wyoming",0,0,0,-1,0,0,0.25,-0.75,2,0,0,1,0,0,3,2.25,-0.935136528635864,-0.703808928198707
